Restaurant ID,Name,Cuisine Type,Specialty Dishes,Price Range,Dietary Options,User Rating,Reviews,Google Maps Link,City
101,El Set Hosn,Home-style Egyptian,"Mahshi, Tagines",Mid-range,Halal,4.6,Feels like your grandmother's kitchen,https://www.google.com/maps/search/?api=1&query=El+Set+Hosn,Alexandria
102,Zephyrion,Greek Fusion,"Grilled Octopus, Greek Mezze",Luxury,"Seafood, Vegetarian",4.7,Secluded luxury with an authentic Greek taste,https://www.google.com/maps/search/?api=1&query=Zephyrion,Alexandria
103,El Taklia,Egyptian,"Kofta, Okra Stew",Affordable,Halal,4.5,Tiny traditional spot with big flavors,https://www.google.com/maps/search/?api=1&query=El+Taklia,Alexandria
104,La Veranda,French,"Quiche, Escargot",Luxury,Vegetarian,4.6,Fine French dining with sea breeze,https://www.google.com/maps/search/?api=1&query=La+Veranda,Alexandria
105,China House,Chinese,"Dim Sum, Sweet & Sour Chicken",Mid-range,Halal,4.3,Authentic Chinese experience in Alexandria,https://www.google.com/maps/search/?api=1&query=China+House,Alexandria
106,Rasheed Kebab,Grill,"Shish Kebab, Tawook",Affordable,Halal,4.4,Simple grill joint with big flavors,https://www.google.com/maps/search/?api=1&query=Rasheed+Kebab,Alexandria
107,Sultan Café & Lounge,Middle Eastern,"Hookah, Mixed Mezzes",Mid-range,Vegetarian,4.5,Lounge vibes with traditional food,https://www.google.com/maps/search/?api=1&query=Sultan+Café+&+Lounge,Alexandria
108,Burger Joint,American,"Cheeseburger, Fries",Mid-range,Halal,4.2,Trendy burger spot for meat lovers,https://www.google.com/maps/search/?api=1&query=Burger+Joint,Alexandria
109,Pita Wraps,Mediterranean,"Falafel Wraps, Grilled Chicken Wraps",Affordable,"Halal, Vegetarian",4.3,Light bites and fresh ingredients,https://www.google.com/maps/search/?api=1&query=Pita+Wraps,Alexandria
110,Java Lounge,Cafe,"Coffee, Cakes",Mid-range,Vegetarian,4.4,Modern café perfect for remote work,https://www.google.com/maps/search/?api=1&query=Java+Lounge,Alexandria
111,Oasis Tandoori,Indian,"Butter Chicken, Naan",Mid-range,"Halal, Vegetarian",4.5,Hidden gem for spicy Indian cuisine,https://www.google.com/maps/search/?api=1&query=Oasis+Tandoori,Alexandria
112,Bake & Shake,Bakery & Cafe,"Cupcakes, Milkshakes",Affordable,Vegetarian,4.3,Colorful spot for desserts and drinks,https://www.google.com/maps/search/?api=1&query=Bake+&+Shake,Alexandria
113,Casa Pizza,Italian,"Wood-fired Pizza, Cannoli",Mid-range,Vegetarian,4.4,Great authentic pizza in a cozy corner,https://www.google.com/maps/search/?api=1&query=Casa+Pizza,Alexandria
114,Jardino,International,"Steaks, Risotto",Luxury,"Halal, Vegetarian",4.7,Modern fine dining with a cozy atmosphere,https://www.google.com/maps/search/?api=1&query=Jardino,Alexandria
115,Abo Kir Seafood,Seafood,"Shrimp, Calamari",Mid-range,Seafood,4.6,"Classic seafood joint, always busy",https://www.google.com/maps/search/?api=1&query=Abo+Kir+Seafood,Alexandria
116,L Passage,Cafe & Bistro,"Coffee, Brunch Plates",Mid-range,Vegetarian,4.5,Trendy Instagram-friendly café,https://www.google.com/maps/search/?api=1&query=L+Passage,Alexandria
117,Zanilli's,International,"Pizza, Salads, Steaks",Mid-range,Vegetarian,4.4,One of the most popular hangout spots,https://www.google.com/maps/search/?api=1&query=Zanilli's,Alexandria
118,Club 33,Fusion,"Asian Noodles, Sliders",Luxury,"Halal, Vegetarian",4.6,Chic and stylish restaurant,https://www.google.com/maps/search/?api=1&query=Club+33,Alexandria
119,Makani,Asian Fusion,"Sushi, Noodles",Mid-range,Halal,4.5,One of the go-to sushi spots in Alex,https://www.google.com/maps/search/?api=1&query=Makani,Alexandria
120,Skyroof,International,"Cocktails, Tapas",Luxury,Vegetarian,4.6,Rooftop dining with great ambiance,https://www.google.com/maps/search/?api=1&query=Skyroof,Alexandria
121,Antonio’s,Italian,"Lasagna, Ravioli",Mid-range,Vegetarian,4.5,Authentic Italian with great service,https://www.google.com/maps/search/?api=1&query=Antonio’s,Alexandria
122,The Cakery,Desserts,"Cakes, Cupcakes",Affordable,Vegetarian,4.4,Most loved cake shop in town,https://www.google.com/maps/search/?api=1&query=The+Cakery,Alexandria
123,Seafood House - Stanley,Seafood,"Grilled Fish, Crab Soup",Mid-range,Seafood,4.6,Iconic seafood by Stanley Bridge,https://www.google.com/maps/search/?api=1&query=Seafood+House+-+Stanley,Alexandria
124,Al Dokka,Egyptian,"Grilled Meats, Mahshi",Luxury,Halal,4.7,Island dining experience with Nile view,https://www.google.com/maps/search/?api=1&query=Al+Dokka,Aswan
125,Nubian Dream,Nubian,"Tagines, Grilled Fish",Mid-range,Halal,4.6,Cozy setting with authentic Nubian food,https://www.google.com/maps/search/?api=1&query=Nubian+Dream,Aswan
126,1902 Restaurant,French-Egyptian,"Duck, Mezzes",Luxury,"Halal, Vegetarian",4.8,Historic fine dining at the Old Cataract,https://www.google.com/maps/search/?api=1&query=1902+Restaurant,Aswan
127,Ashry Aswan,Egyptian,"Koshari, Liver Sandwich",Affordable,Halal,4.4,Popular spot for local street food,https://www.google.com/maps/search/?api=1&query=Ashry+Aswan,Aswan
128,Makani,International,"Pizza, Chicken Wrap",Mid-range,Halal,4.5,Modern eatery with Nile view,https://www.google.com/maps/search/?api=1&query=Makani,Aswan
129,Salah El Din,Seafood,"Grilled Fish, Shrimp",Mid-range,Seafood,4.5,Seafood with local charm,https://www.google.com/maps/search/?api=1&query=Salah+El+Din,Aswan
130,Kato Dool,Nubian,"Stuffed Pigeon, Tagines",Mid-range,Halal,4.6,Charming colorful Nubian atmosphere,https://www.google.com/maps/search/?api=1&query=Kato+Dool,Aswan
131,Biti Pizza,Italian,"Pizza, Pasta",Affordable,Vegetarian,4.2,Simple Italian with local fans,https://www.google.com/maps/search/?api=1&query=Biti+Pizza,Aswan
132,Ferial Garden Café,Cafe,"Juices, Desserts",Mid-range,Vegetarian,4.3,Great sunset spot,https://www.google.com/maps/search/?api=1&query=Ferial+Garden+Café,Aswan
133,Nubian House Restaurant,Nubian,"Grilled Chicken, Okra Stew",Mid-range,Halal,4.5,Family-run authentic spot,https://www.google.com/maps/search/?api=1&query=Nubian+House+Restaurant,Aswan
134,El Dokka Terrace,Egyptian,"Tagines, Kofta",Luxury,Halal,4.6,Terrace views over the Nile,https://www.google.com/maps/search/?api=1&query=El+Dokka+Terrace,Aswan
135,Habibi Restaurant,International,"Steak, Pasta",Mid-range,Halal,4.3,Popular with tourists,https://www.google.com/maps/search/?api=1&query=Habibi+Restaurant,Aswan
136,Chef Khalil,Seafood,"Fried Fish, Shrimp Tajine",Mid-range,Seafood,4.4,Local seafood master,https://www.google.com/maps/search/?api=1&query=Chef+Khalil,Aswan
137,Aswan Moon,Cafe,"Snacks, Tea",Affordable,Vegetarian,4.2,Floating café with chill vibes,https://www.google.com/maps/search/?api=1&query=Aswan+Moon,Aswan
138,Nubian Palace,Nubian,"Mahshi, Eggplant Stew",Mid-range,Halal,4.5,Hidden gem on the west bank,https://www.google.com/maps/search/?api=1&query=Nubian+Palace,Aswan
139,Panorama Restaurant,Grill,"Kofta, Chicken",Luxury,Halal,4.6,Top views and great food,https://www.google.com/maps/search/?api=1&query=Panorama+Restaurant,Aswan
140,Basma Hotel Restaurant,International,"Buffet, Grilled Fish",Luxury,Halal,4.5,Hotel dining done right,https://www.google.com/maps/search/?api=1&query=Basma+Hotel+Restaurant,Aswan
141,Hanafi,Street Food,"Foul, Taameya",Affordable,"Halal, Vegan",4.3,Morning breakfast favorite,https://www.google.com/maps/search/?api=1&query=Hanafi,Aswan
142,El Masry,Egyptian,"Molokhia, Mahshi",Mid-range,Halal,4.4,Classic Egyptian flavors,https://www.google.com/maps/search/?api=1&query=El+Masry,Aswan
143,Sofitel Old Cataract Lounge,French,"Pastries, Cheese Platters",Luxury,Vegetarian,4.8,Elegance with a colonial touch,https://www.google.com/maps/search/?api=1&query=Sofitel+Old+Cataract+Lounge,Aswan
144,Africa Restaurant,Nubian,"Tagines, Rice Dishes",Mid-range,Halal,4.4,Cultural vibe with local music,https://www.google.com/maps/search/?api=1&query=Africa+Restaurant,Aswan
145,El Tekkia,Grill,"Mixed Grill, Stuffed Peppers",Mid-range,Halal,4.5,Traditional decor and food,https://www.google.com/maps/search/?api=1&query=El+Tekkia,Aswan
146,Kababgy Abo Ahmed,Grill,"Kebab, Kofta",Affordable,Halal,4.2,Busy spot for meat lovers,https://www.google.com/maps/search/?api=1&query=Kababgy+Abo+Ahmed,Aswan
147,Dolce Vita,Cafe,"Coffee, Ice Cream",Mid-range,Vegetarian,4.3,Sweet treats in Aswan,https://www.google.com/maps/search/?api=1&query=Dolce+Vita,Aswan
148,Aswan Gallery Café,Art Café,"Desserts, Juices",Mid-range,Vegetarian,4.4,Artistic corner in the city,https://www.google.com/maps/search/?api=1&query=Aswan+Gallery+Café,Aswan
149,El Prince Aswan,Street Food,Sausage Sandwiches,Affordable,Halal,4.3,Extension of Cairo's favorite,https://www.google.com/maps/search/?api=1&query=El+Prince+Aswan,Aswan
150,El Moudira Terrace,Mediterranean,"Seafood Grill, Mezzes",Luxury,Halal,4.6,Elegant terrace by the Nile,https://www.google.com/maps/search/?api=1&query=El+Moudira+Terrace,Aswan
