Route_ID,From_Province,To_Province,Transport_Type,Avg_Price_EGP,Distance_KM,Avg_Duration_Hours,Frequency,Company_Name,Notes
50,Giza,Suez,Flight,1812,718,2.04,1-4 times daily,Nile Air,Flight service between Giza and Suez
51,Giza,Ismailia,Car Rental,300,198,4.58,On Demand,Avis,Car Rental service between Giza and Ismailia
52,Giza,Damietta,Bus,205,477,14.71,Hourly,Super Jet,Bus service between Giza and Damietta
53,Alexandria,Cairo,Bus,47,135,4.89,Hourly,Go Bus,Bus service between Alexandria and Cairo
54,Alexandria,Giza,Flight,1930,772,1.56,1-4 times daily,Air Cairo,Flight service between Alexandria and Giza
55,Alexandria,Qalyubia,Car Rental,1075,707,15.04,On Demand,Avis,Car Rental service between Alexandria and Qalyubia
56,Alexandria,Sharqia,River Transport,559,682,24.14,Every 1-2 hours,Nile Transport Co.,River Transport service between Alexandria and Sharqia
57,Alexandria,Dakahlia,Bus,260,606,18.91,Hourly,Go Bus,Bus service between Alexandria and Dakahlia
58,Alexandria,Beheira,Car Rental,1050,705,14.93,On Demand,Budget,Car Rental service between Alexandria and Beheira
59,Alexandria,Kafr El Sheikh,Bus,145,351,11.04,Hourly,Super Jet,Bus service between Alexandria and Kafr El Sheikh
60,Alexandria,Gharbia,Flight,1703,680,1.96,1-4 times daily,Nile Air,Flight service between Alexandria and Gharbia
61,Alexandria,Monufia,Car Rental,1217,799,16.83,On Demand,Avis,Car Rental service between Alexandria and Monufia
62,Alexandria,Fayoum,River Transport,611,774,27.77,Every 1-2 hours,Nile Transport Co.,River Transport service between Alexandria and Fayoum
63,Alexandria,Beni Suef,Train,460,789,16.36,2-3 times daily,Egyptian Railways,Train service between Alexandria and Beni Suef
64,Alexandria,Minya,River Transport,475,598,21.69,Every 1-2 hours,Nile Transport Co.,River Transport service between Alexandria and Minya
65,Alexandria,Assiut,Car Rental,1344,895,18.26,On Demand,Budget,Car Rental service between Alexandria and Assiut
66,Alexandria,Sohag,Car Rental,1048,694,14.24,On Demand,Sixt,Car Rental service between Alexandria and Sohag
67,Alexandria,Qena,River Transport,633,800,28.33,Every 1-2 hours,Nile Transport Co.,River Transport service between Alexandria and Qena
68,Alexandria,Luxor,River Transport,715,897,31.72,Every 1-2 hours,Nile Transport Co.,River Transport service between Alexandria and Luxor
69,Alexandria,Aswan,Car Rental,1062,708,14.33,On Demand,Avis,Car Rental service between Alexandria and Aswan
70,Alexandria,Red Sea,River Transport,359,461,16.67,Every 1-2 hours,Nile Transport Co.,River Transport service between Alexandria and Red Sea
71,Alexandria,New Valley,Flight,751,298,1.2,1-4 times daily,EgyptAir,Flight service between Alexandria and New Valley
72,Alexandria,Matrouh,Metro,64,322,5.81,Every 10 mins,Cairo Metro Authority,Metro service between Alexandria and Matrouh
73,Alexandria,North Sinai,Car Rental,275,191,4.74,On Demand,Avis,Car Rental service between Alexandria and North Sinai
74,Alexandria,South Sinai,Taxi,1645,814,20.96,On Demand,Careem,Taxi service between Alexandria and South Sinai
75,Alexandria,Port Said,Flight,2019,800,1.89,1-4 times daily,Air Cairo,Flight service between Alexandria and Port Said
76,Alexandria,Suez,Metro,62,251,3.88,Every 10 mins,Cairo Metro Authority,Metro service between Alexandria and Suez
77,Alexandria,Ismailia,Taxi,1372,693,17.71,On Demand,Careem,Taxi service between Alexandria and Ismailia
78,Alexandria,Damietta,Metro,137,644,9.76,Every 10 mins,Cairo Metro Authority,Metro service between Alexandria and Damietta
79,Qalyubia,Cairo,Train,428,725,15.29,2-3 times daily,Egyptian Railways,Train service between Qalyubia and Cairo
80,Qalyubia,Giza,Flight,326,133,0.56,1-4 times daily,EgyptAir,Flight service between Qalyubia and Giza
81,Qalyubia,Alexandria,Train,70,107,2.45,2-3 times daily,Egyptian Railways,Train service between Qalyubia and Alexandria
82,Qalyubia,Sharqia,Metro,81,459,7.65,Every 10 mins,Cairo Metro Authority,Metro service between Qalyubia and Sharqia
83,Qalyubia,Dakahlia,Bus,206,480,14.85,Hourly,Go Bus,Bus service between Qalyubia and Dakahlia
84,Qalyubia,Beheira,Metro,175,876,13.3,Every 10 mins,Cairo Metro Authority,Metro service between Qalyubia and Beheira
85,Qalyubia,Kafr El Sheikh,Bus,154,413,12.66,Hourly,Super Jet,Bus service between Qalyubia and Kafr El Sheikh
86,Qalyubia,Gharbia,Taxi,633,314,8.22,On Demand,Local Taxi,Taxi service between Qalyubia and Gharbia
87,Qalyubia,Monufia,Bus,219,499,15.91,Hourly,Super Jet,Bus service between Qalyubia and Monufia
88,Qalyubia,Fayoum,Taxi,736,377,10.31,On Demand,Careem,Taxi service between Qalyubia and Fayoum
89,Qalyubia,Beni Suef,Flight,955,384,1.06,1-4 times daily,EgyptAir,Flight service between Qalyubia and Beni Suef
90,Qalyubia,Minya,Car Rental,1279,851,17.83,On Demand,Avis,Car Rental service between Qalyubia and Minya
91,Qalyubia,Assiut,Taxi,837,415,11.26,On Demand,Uber,Taxi service between Qalyubia and Assiut
92,Qalyubia,Sohag,Train,116,194,4.55,2-3 times daily,Egyptian Railways,Train service between Qalyubia and Sohag
93,Qalyubia,Qena,Flight,1120,449,1.27,1-4 times daily,EgyptAir,Flight service between Qalyubia and Qena
94,Qalyubia,Luxor,Train,135,243,5.82,2-3 times daily,Egyptian Railways,Train service between Qalyubia and Luxor
95,Qalyubia,Aswan,Bus,308,797,24.29,Hourly,Go Bus,Bus service between Qalyubia and Aswan
96,Qalyubia,Red Sea,Car Rental,1116,746,15.33,On Demand,Budget,Car Rental service between Qalyubia and Red Sea
97,Qalyubia,New Valley,Taxi,951,484,13.06,On Demand,Careem,Taxi service between Qalyubia and New Valley
98,Qalyubia,Matrouh,Car Rental,1171,776,15.75,On Demand,Avis,Car Rental service between Qalyubia and Matrouh
99,Qalyubia,North Sinai,Taxi,989,501,13.4,On Demand,Uber,Taxi service between Qalyubia and North Sinai
100,Qalyubia,South Sinai,Metro,77,309,4.78,Every 10 mins,Cairo Metro Authority,Metro service between Qalyubia and South Sinai
101,Qalyubia,Port Said,Taxi,1123,568,15.18,On Demand,Uber,Taxi service between Qalyubia and Port Said
102,Qalyubia,Suez,Metro,125,567,8.75,Every 10 mins,Cairo Metro Authority,Metro service between Qalyubia and Suez
103,Qalyubia,Ismailia,Train,550,884,18,2-3 times daily,Egyptian Railways,Train service between Qalyubia and Ismailia
104,Qalyubia,Damietta,Taxi,1754,886,22.39,On Demand,Local Taxi,Taxi service between Qalyubia and Damietta
105,Sharqia,Cairo,Car Rental,241,151,3.85,On Demand,Sixt,Car Rental service between Sharqia and Cairo
106,Sharqia,Giza,Bus,83,192,6.48,Hourly,Super Jet,Bus service between Sharqia and Giza
107,Sharqia,Alexandria,Flight,1084,437,1.6,1-4 times daily,Nile Air,Flight service between Sharqia and Alexandria
108,Sharqia,Qalyubia,Bus,125,318,10.16,Hourly,Go Bus,Bus service between Sharqia and Qalyubia
109,Sharqia,Dakahlia,Bus,68,206,6.37,Hourly,Super Jet,Bus service between Sharqia and Dakahlia
110,Sharqia,Beheira,Metro,166,821,13.08,Every 10 mins,Cairo Metro Authority,Metro service between Sharqia and Beheira
111,Sharqia,Kafr El Sheikh,River Transport,496,600,21.55,Every 1-2 hours,Nile Transport Co.,River Transport service between Sharqia and Kafr El Sheikh
112,Sharqia,Gharbia,Bus,285,674,21.06,Hourly,Go Bus,Bus service between Sharqia and Gharbia
113,Sharqia,Monufia,Flight,260,106,0.27,1-4 times daily,Nile Air,Flight service between Sharqia and Monufia
114,Sharqia,Fayoum,Taxi,822,419,11.38,On Demand,Careem,Taxi service between Sharqia and Fayoum
115,Sharqia,Beni Suef,Metro,3,105,2.31,Every 10 mins,Cairo Metro Authority,Metro service between Sharqia and Beni Suef
116,Sharqia,Minya,Bus,88,214,6.6,Hourly,Go Bus,Bus service between Sharqia and Minya
117,Sharqia,Assiut,River Transport,465,592,21.58,Every 1-2 hours,Nile Transport Co.,River Transport service between Sharqia and Assiut
118,Sharqia,Sohag,Train,348,598,12.9,2-3 times daily,Egyptian Railways,Train service between Sharqia and Sohag
119,Sharqia,Qena,Car Rental,322,213,4.48,On Demand,Avis,Car Rental service between Sharqia and Qena
120,Sharqia,Luxor,Bus,212,582,17.84,Hourly,Super Jet,Bus service between Sharqia and Luxor
121,Sharqia,Aswan,Bus,328,871,26.67,Hourly,Super Jet,Bus service between Sharqia and Aswan
122,Sharqia,Red Sea,Flight,2061,821,2.07,1-4 times daily,EgyptAir,Flight service between Sharqia and Red Sea
123,Sharqia,New Valley,Metro,145,816,13.2,Every 10 mins,Cairo Metro Authority,Metro service between Sharqia and New Valley
124,Sharqia,Matrouh,Flight,1526,606,1.19,1-4 times daily,EgyptAir,Flight service between Sharqia and Matrouh
125,Sharqia,North Sinai,Car Rental,1121,736,15.11,On Demand,Budget,Car Rental service between Sharqia and North Sinai
126,Sharqia,South Sinai,Flight,1584,628,1.82,1-4 times daily,Air Cairo,Flight service between Sharqia and South Sinai
127,Sharqia,Port Said,Taxi,1306,647,17.06,On Demand,Careem,Taxi service between Sharqia and Port Said
128,Sharqia,Suez,Bus,196,509,15.77,Hourly,Go Bus,Bus service between Sharqia and Suez
129,Sharqia,Ismailia,Taxi,1238,621,16.39,On Demand,Local Taxi,Taxi service between Sharqia and Ismailia
130,Sharqia,Damietta,Train,71,145,3.23,2-3 times daily,Egyptian Railways,Train service between Sharqia and Damietta
131,Dakahlia,Cairo,Taxi,574,278,7.49,On Demand,Uber,Taxi service between Dakahlia and Cairo
132,Dakahlia,Giza,Metro,37,286,4.48,Every 10 mins,Cairo Metro Authority,Metro service between Dakahlia and Giza
133,Dakahlia,Alexandria,Bus,312,821,25.58,Hourly,Super Jet,Bus service between Dakahlia and Alexandria
134,Dakahlia,Qalyubia,Metro,144,754,11.51,Every 10 mins,Cairo Metro Authority,Metro service between Dakahlia and Qalyubia
135,Dakahlia,Sharqia,Metro,72,376,6.63,Every 10 mins,Cairo Metro Authority,Metro service between Dakahlia and Sharqia
136,Dakahlia,Beheira,Taxi,596,306,8.26,On Demand,Uber,Taxi service between Dakahlia and Beheira
137,Dakahlia,Kafr El Sheikh,Flight,370,141,0.69,1-4 times daily,Air Cairo,Flight service between Dakahlia and Kafr El Sheikh
138,Dakahlia,Gharbia,River Transport,523,644,23.17,Every 1-2 hours,Nile Transport Co.,River Transport service between Dakahlia and Gharbia
139,Dakahlia,Monufia,Train,487,792,16.5,2-3 times daily,Egyptian Railways,Train service between Dakahlia and Monufia
140,Dakahlia,Fayoum,Flight,811,326,0.82,1-4 times daily,Air Cairo,Flight service between Dakahlia and Fayoum
141,Dakahlia,Beni Suef,Flight,1439,573,1.71,1-4 times daily,EgyptAir,Flight service between Dakahlia and Beni Suef
142,Dakahlia,Minya,Metro,37,138,2.8,Every 10 mins,Cairo Metro Authority,Metro service between Dakahlia and Minya
143,Dakahlia,Assiut,Flight,985,400,1.06,1-4 times daily,EgyptAir,Flight service between Dakahlia and Assiut
144,Dakahlia,Sohag,Metro,100,524,8.19,Every 10 mins,Cairo Metro Authority,Metro service between Dakahlia and Sohag
145,Dakahlia,Qena,Taxi,1218,616,15.77,On Demand,Careem,Taxi service between Dakahlia and Qena
146,Dakahlia,Luxor,Flight,689,277,1.09,1-4 times daily,Nile Air,Flight service between Dakahlia and Luxor
147,Dakahlia,Aswan,Metro,137,625,9.51,Every 10 mins,Cairo Metro Authority,Metro service between Dakahlia and Aswan
148,Dakahlia,Red Sea,Flight,2167,868,2.14,1-4 times daily,Nile Air,Flight service between Dakahlia and Red Sea
149,Dakahlia,New Valley,Metro,33,250,4.63,Every 10 mins,Cairo Metro Authority,Metro service between Dakahlia and New Valley
150,Dakahlia,Matrouh,Taxi,1081,543,14.21,On Demand,Local Taxi,Taxi service between Dakahlia and Matrouh
151,Dakahlia,North Sinai,Taxi,1030,510,13.03,On Demand,Uber,Taxi service between Dakahlia and North Sinai
152,Dakahlia,South Sinai,Flight,987,394,1.37,1-4 times daily,Nile Air,Flight service between Dakahlia and South Sinai
153,Dakahlia,Port Said,Car Rental,238,149,3.27,On Demand,Avis,Car Rental service between Dakahlia and Port Said
154,Dakahlia,Suez,Bus,195,453,14.34,Hourly,Go Bus,Bus service between Dakahlia and Suez
155,Dakahlia,Ismailia,Flight,1127,443,1.54,1-4 times daily,EgyptAir,Flight service between Dakahlia and Ismailia
156,Dakahlia,Damietta,River Transport,511,616,22.08,Every 1-2 hours,Nile Transport Co.,River Transport service between Dakahlia and Damietta
157,Beheira,Cairo,Flight,321,133,0.86,1-4 times daily,Nile Air,Flight service between Beheira and Cairo
158,Beheira,Giza,Train,133,247,5.56,2-3 times daily,Egyptian Railways,Train service between Beheira and Giza
159,Beheira,Alexandria,Metro,169,863,13.55,Every 10 mins,Cairo Metro Authority,Metro service between Beheira and Alexandria
160,Beheira,Qalyubia,Metro,171,755,11.46,Every 10 mins,Cairo Metro Authority,Metro service between Beheira and Qalyubia
161,Beheira,Sharqia,Bus,55,123,4.4,Hourly,Go Bus,Bus service between Beheira and Sharqia
162,Beheira,Dakahlia,Taxi,475,228,6.36,On Demand,Careem,Taxi service between Beheira and Dakahlia
163,Beheira,Kafr El Sheikh,Bus,221,540,16.3,Hourly,Super Jet,Bus service between Beheira and Kafr El Sheikh
164,Beheira,Gharbia,River Transport,434,555,20.27,Every 1-2 hours,Nile Transport Co.,River Transport service between Beheira and Gharbia
165,Beheira,Monufia,Flight,531,208,0.46,1-4 times daily,Nile Air,Flight service between Beheira and Monufia
166,Beheira,Fayoum,Metro,51,319,5.6,Every 10 mins,Cairo Metro Authority,Metro service between Beheira and Fayoum
167,Beheira,Beni Suef,Train,518,894,18.59,2-3 times daily,Egyptian Railways,Train service between Beheira and Beni Suef
168,Beheira,Minya,Car Rental,520,342,7.23,On Demand,Avis,Car Rental service between Beheira and Minya
169,Beheira,Assiut,Bus,169,427,13.7,Hourly,Go Bus,Bus service between Beheira and Assiut
170,Beheira,Sohag,Bus,329,818,25.03,Hourly,Go Bus,Bus service between Beheira and Sohag
171,Beheira,Qena,Train,200,317,6.96,2-3 times daily,Egyptian Railways,Train service between Beheira and Qena
172,Beheira,Luxor,Car Rental,353,229,5.38,On Demand,Sixt,Car Rental service between Beheira and Luxor
173,Beheira,Aswan,Metro,127,727,11.63,Every 10 mins,Cairo Metro Authority,Metro service between Beheira and Aswan
174,Beheira,Red Sea,River Transport,651,802,28.47,Every 1-2 hours,Nile Transport Co.,River Transport service between Beheira and Red Sea
175,Beheira,New Valley,River Transport,522,651,22.96,Every 1-2 hours,Nile Transport Co.,River Transport service between Beheira and New Valley
176,Beheira,Matrouh,Car Rental,281,185,4.13,On Demand,Sixt,Car Rental service between Beheira and Matrouh
177,Beheira,North Sinai,River Transport,268,311,11.4,Every 1-2 hours,Nile Transport Co.,River Transport service between Beheira and North Sinai
178,Beheira,South Sinai,Metro,70,354,6.24,Every 10 mins,Cairo Metro Authority,Metro service between Beheira and South Sinai
179,Beheira,Port Said,Flight,1643,662,1.81,1-4 times daily,Nile Air,Flight service between Beheira and Port Said
180,Beheira,Suez,Car Rental,1031,675,14.28,On Demand,Sixt,Car Rental service between Beheira and Suez
181,Beheira,Ismailia,Metro,134,675,10.81,Every 10 mins,Cairo Metro Authority,Metro service between Beheira and Ismailia
182,Beheira,Damietta,Metro,37,171,3.39,Every 10 mins,Cairo Metro Authority,Metro service between Beheira and Damietta
183,Kafr El Sheikh,Cairo,Metro,148,649,9.94,Every 10 mins,Cairo Metro Authority,Metro service between Kafr El Sheikh and Cairo
184,Kafr El Sheikh,Giza,Metro,107,514,8.04,Every 10 mins,Cairo Metro Authority,Metro service between Kafr El Sheikh and Giza
185,Kafr El Sheikh,Alexandria,Car Rental,693,466,9.93,On Demand,Sixt,Car Rental service between Kafr El Sheikh and Alexandria
186,Kafr El Sheikh,Qalyubia,Train,181,289,6.25,2-3 times daily,Egyptian Railways,Train service between Kafr El Sheikh and Qalyubia
187,Kafr El Sheikh,Sharqia,Flight,1702,688,1.18,1-4 times daily,Nile Air,Flight service between Kafr El Sheikh and Sharqia
188,Kafr El Sheikh,Dakahlia,Taxi,555,285,7.92,On Demand,Careem,Taxi service between Kafr El Sheikh and Dakahlia
189,Kafr El Sheikh,Beheira,Metro,73,346,5.66,Every 10 mins,Cairo Metro Authority,Metro service between Kafr El Sheikh and Beheira
190,Kafr El Sheikh,Gharbia,Flight,443,176,0.72,1-4 times daily,Nile Air,Flight service between Kafr El Sheikh and Gharbia
191,Kafr El Sheikh,Monufia,River Transport,588,719,25.38,Every 1-2 hours,Nile Transport Co.,River Transport service between Kafr El Sheikh and Monufia
192,Kafr El Sheikh,Fayoum,River Transport,691,881,31.39,Every 1-2 hours,Nile Transport Co.,River Transport service between Kafr El Sheikh and Fayoum
193,Kafr El Sheikh,Beni Suef,Flight,939,380,0.96,1-4 times daily,Nile Air,Flight service between Kafr El Sheikh and Beni Suef
194,Kafr El Sheikh,Minya,Train,508,855,17.36,2-3 times daily,Egyptian Railways,Train service between Kafr El Sheikh and Minya
195,Kafr El Sheikh,Assiut,Car Rental,503,340,7.67,On Demand,Sixt,Car Rental service between Kafr El Sheikh and Assiut
196,Kafr El Sheikh,Sohag,Taxi,1347,678,17.59,On Demand,Uber,Taxi service between Kafr El Sheikh and Sohag
197,Kafr El Sheikh,Qena,Taxi,1303,658,17.14,On Demand,Local Taxi,Taxi service between Kafr El Sheikh and Qena
198,Kafr El Sheikh,Luxor,Taxi,462,223,6.09,On Demand,Careem,Taxi service between Kafr El Sheikh and Luxor
199,Kafr El Sheikh,Aswan,Flight,2065,825,1.85,1-4 times daily,Air Cairo,Flight service between Kafr El Sheikh and Aswan
200,Kafr El Sheikh,Red Sea,Bus,224,573,17.66,Hourly,Go Bus,Bus service between Kafr El Sheikh and Red Sea
201,Kafr El Sheikh,New Valley,Taxi,547,282,7.39,On Demand,Careem,Taxi service between Kafr El Sheikh and New Valley
202,Kafr El Sheikh,Matrouh,Bus,153,413,12.55,Hourly,Go Bus,Bus service between Kafr El Sheikh and Matrouh
203,Kafr El Sheikh,North Sinai,Car Rental,1338,896,18.31,On Demand,Avis,Car Rental service between Kafr El Sheikh and North Sinai
204,Kafr El Sheikh,South Sinai,Car Rental,273,169,4.01,On Demand,Budget,Car Rental service between Kafr El Sheikh and South Sinai
205,Kafr El Sheikh,Port Said,Taxi,1221,606,15.7,On Demand,Local Taxi,Taxi service between Kafr El Sheikh and Port Said
206,Kafr El Sheikh,Suez,Taxi,580,289,7.66,On Demand,Uber,Taxi service between Kafr El Sheikh and Suez
207,Kafr El Sheikh,Ismailia,Car Rental,257,184,4.38,On Demand,Budget,Car Rental service between Kafr El Sheikh and Ismailia
208,Kafr El Sheikh,Damietta,Bus,329,871,26.95,Hourly,Go Bus,Bus service between Kafr El Sheikh and Damietta
209,Gharbia,Cairo,Metro,86,484,7.86,Every 10 mins,Cairo Metro Authority,Metro service between Gharbia and Cairo
210,Gharbia,Giza,Metro,86,334,5.87,Every 10 mins,Cairo Metro Authority,Metro service between Gharbia and Giza
211,Gharbia,Alexandria,Bus,114,298,9.76,Hourly,Super Jet,Bus service between Gharbia and Alexandria
212,Gharbia,Qalyubia,River Transport,305,399,14.44,Every 1-2 hours,Nile Transport Co.,River Transport service between Gharbia and Qalyubia
213,Gharbia,Sharqia,Metro,168,752,12.22,Every 10 mins,Cairo Metro Authority,Metro service between Gharbia and Sharqia
214,Gharbia,Dakahlia,River Transport,122,129,4.68,Every 1-2 hours,Nile Transport Co.,River Transport service between Gharbia and Dakahlia
215,Gharbia,Beheira,Train,80,165,3.54,2-3 times daily,Egyptian Railways,Train service between Gharbia and Beheira
216,Gharbia,Kafr El Sheikh,Metro,161,868,13.57,Every 10 mins,Cairo Metro Authority,Metro service between Gharbia and Kafr El Sheikh
217,Gharbia,Monufia,Flight,670,260,1.21,1-4 times daily,Nile Air,Flight service between Gharbia and Monufia
218,Gharbia,Fayoum,Bus,201,487,14.78,Hourly,Super Jet,Bus service between Gharbia and Fayoum
219,Gharbia,Beni Suef,Train,434,742,15.32,2-3 times daily,Egyptian Railways,Train service between Gharbia and Beni Suef
220,Gharbia,Minya,Flight,1633,651,1.25,1-4 times daily,Nile Air,Flight service between Gharbia and Minya
221,Gharbia,Assiut,Bus,116,338,10.27,Hourly,Go Bus,Bus service between Gharbia and Assiut
222,Gharbia,Sohag,Metro,83,369,6.29,Every 10 mins,Cairo Metro Authority,Metro service between Gharbia and Sohag
223,Gharbia,Qena,Train,346,591,12.3,2-3 times daily,Egyptian Railways,Train service between Gharbia and Qena
224,Gharbia,Luxor,Metro,184,879,13.46,Every 10 mins,Cairo Metro Authority,Metro service between Gharbia and Luxor
225,Gharbia,Aswan,River Transport,587,749,26.44,Every 1-2 hours,Nile Transport Co.,River Transport service between Gharbia and Aswan
226,Gharbia,Red Sea,Taxi,1316,667,17.35,On Demand,Careem,Taxi service between Gharbia and Red Sea
227,Gharbia,New Valley,Taxi,627,309,8.23,On Demand,Uber,Taxi service between Gharbia and New Valley
228,Gharbia,Matrouh,Bus,86,231,7.37,Hourly,Go Bus,Bus service between Gharbia and Matrouh
229,Gharbia,North Sinai,Bus,135,299,9.37,Hourly,Go Bus,Bus service between Gharbia and North Sinai
230,Gharbia,South Sinai,River Transport,329,392,14.36,Every 1-2 hours,Nile Transport Co.,River Transport service between Gharbia and South Sinai
231,Gharbia,Port Said,Train,152,262,5.57,2-3 times daily,Egyptian Railways,Train service between Gharbia and Port Said
232,Gharbia,Suez,Car Rental,1301,880,18.54,On Demand,Budget,Car Rental service between Gharbia and Suez
233,Gharbia,Ismailia,Metro,92,366,5.62,Every 10 mins,Cairo Metro Authority,Metro service between Gharbia and Ismailia
234,Gharbia,Damietta,Car Rental,576,387,7.87,On Demand,Sixt,Car Rental service between Gharbia and Damietta
235,Monufia,Cairo,Taxi,981,488,12.79,On Demand,Careem,Taxi service between Monufia and Cairo
236,Monufia,Giza,River Transport,676,826,29.43,Every 1-2 hours,Nile Transport Co.,River Transport service between Monufia and Giza
237,Monufia,Alexandria,Car Rental,998,676,13.9,On Demand,Avis,Car Rental service between Monufia and Alexandria
238,Monufia,Qalyubia,River Transport,337,437,15.82,Every 1-2 hours,Nile Transport Co.,River Transport service between Monufia and Qalyubia
239,Monufia,Sharqia,Metro,43,283,5,Every 10 mins,Cairo Metro Authority,Metro service between Monufia and Sharqia
